loci,grch38_gene_name
chr1:9687125-9687367,PIK3CD-AS2
chr1:27527884-27528085,NA
chr1:2938633-2939043,NA
chr1:119526782-119527192,NA
chr1:78444303-78444605,NA
chr1:9969845-9970063,NMNAT1
chr1:44412073-44412804,RNF220
chr1:201368560-201369032,TNNT2
chr1:22456023-22456225,ZBTB40
chr1:87380162-87381214,NA
chr1:22778236-22778817,EPHB2
chr1:249167408-249168010,NA
chr1:201252452-201253648,NA
chr1:249106095-249106517,NA
chr1:162336876-162337321,NOS1AP
chr1:39283609-39284576,MACF1
chr1:75596723-75596947,SLC44A5
chr1:222885326-222886230,DISP1
chr1:14219350-14219737,NA
chr1:184020781-184021054,COLGALT2
chr1:92012336-92012656,BRDT
chr1:144339720-144341289,NA
chr1:161993022-161994131,OLFML2B
chr1:185014369-185015220,NA
chr1:10753773-10754176,CASZ1
chr1:6761295-6762131,NA
chr1:154946237-154946498,PBXIP1
chr1:24069695-24070615,MYOM3
chr1:226127112-226127695,NA
chr1:147752859-147753165,NA
chr1:181767493-181767893,CACNA1E
chr1:149764128-149764989,NA
chr1:113261468-113261765,NA
chr1:17337829-17338590,PADI4
chr1:154531054-154531565,TDRD10
chr1:3649294-3649674,WRAP73
chr1:180991719-180992149,STX6
chr1:151512661-151513199,CGN
chr1:221054554-221054888,NA
chr1:38022452-38022719,UTP11L
chr1:13910137-13910868,NA
chr1:1670756-1671101,SLC35E2B
chr1:55266277-55267058,NA
chr1:224370585-224371755,CNIH4
chr1:59280951-59281194,NA
chr1:156051239-156051461,UBQLN4
chr1:247334820-247335382,NA
chr1:6639427-6640361,DNAJC11
chr1:151693991-151694282,SNX27
chr1:40781004-40781445,NA
chr1:150551328-150552353,ADAMTSL4
chr1:211432105-211434134,LINC00467
chr1:40348941-40349288,NA
chr1:16825138-16826377,NA
chr1:117077042-117077299,TTF2
chr1:17033768-17034728,SDHB
chr1:156046343-156047384,UBQLN4
chr1:159915368-159915797,NA
chr1:16553326-16553660,NA
chr1:231556681-231558447,TSNAX
chr1:36786500-36789402,NA
chr1:64058937-64059913,ROR1
chr1:3331986-3332227,PRDM16
chr1:78354381-78354673,MGC27382
chr1:8877598-8878092,ENO1
chr1:106623393-106623854,NA
chr1:27941865-27942324,SMPDL3B
chr1:38510102-38513642,NA
chr1:228473835-228474043,NA
chr1:165796653-165797683,NA
chr1:212964866-212965347,VASH2
chr1:1470604-1471450,NA
chr1:204797610-204797930,NA
chr1:29507976-29508686,NA
chr1:17231298-17231680,PADI1
chr1:143467293-143467675,NA
chr1:21551574-21551931,ALPL
chr1:203456784-203457059,NA
chr1:97187102-97187606,DPYD-AS1
chr1:50489417-50489846,FAF1
chr1:180123555-180124584,NA
chr1:158119488-158119704,NA
chr1:152079997-152081705,LOC100131107
chr1:179851482-179852371,TOR1AIP2
chr1:231296559-231297345,NA
chr1:1374461-1375584,AURKAIP1
chr1:35334304-35334506,ZMYM4
chr1:204950982-204951210,NFASC
chr1:99469932-99470968,NA
chr1:183604283-183605333,NA
chr1:805198-805628,NA
chr1:87793802-87795142,NA
chr1:22468912-22470252,ZBTB40
chr1:159894329-159895398,CFAP45
chr1:109618579-109618832,NA
chr1:151881763-151882407,THEM4
chr1:54411057-54411943,NA
chr1:52520746-52521124,ZCCHC11
chr1:45120237-45120723,ZSWIM5
chr1:20834416-20834883,EIF4G3
chr1:247279204-247279461,NA
chr1:225117220-225117781,DNAH14
chr1:220701507-220702348,NA
chr1:197871588-197872299,NA
chr1:98519001-98519983,NA
chr1:227729515-227730492,LOC100130093
chr1:244142851-244143055,NA
chr1:210857059-210857262,KCNH1
chr1:249120450-249120731,NA
chr1:230468504-230468850,NA
chr1:200271276-200271538,NA
chr1:61542537-61542877,NA
chr1:148244589-148244861,LOC101927468
chr1:28573701-28574022,TRNAU1AP
chr1:200010625-200010832,NA
chr1:46951168-46951792,NA
chr1:16475111-16475324,CROCCP3
chr1:16173889-16175396,NA
chr1:109505681-109506214,NA
chr1:9749295-9750228,CLSTN1
chr1:875730-878363,FAM41C
chr1:2777157-2777361,TTC34
chr1:229406646-229407129,NA
chr1:19110720-19110932,UBR4
chr1:40915605-40916072,NA
chr1:154975697-154976624,CKS1B
chr1:159899432-159899853,CFAP45
chr1:34098896-34099119,CSMD2
chr1:245836323-245836747,SMYD3
chr1:158150620-158151503,NA
chr1:3731458-3732015,TP73
chr1:159750416-159751353,NA
chr1:27648453-27649006,NA
chr1:32110210-32110961,KPNA6
chr1:205631977-205632254,ELK4
chr1:1580377-1580595,NA
chr1:121260857-121261525,SRGAP2C
chr1:6653397-6653674,DNAJC11
chr1:919726-919927,NA
chr1:1875617-1875877,GNB1
chr1:36396249-36397262,LSM10
chr1:148605087-148605420,NA
chr1:149332993-149333389,NA
chr1:207842805-207843259,NA
chr1:145477022-145477479,NA
chr1:15943821-15944356,ZBTB17
chr1:5793557-5793784,NA
chr1:231176785-231177009,TRIM67
chr1:76189916-76190730,ST6GALNAC3
chr1:152083021-152084240,TCHHL1
chr1:47899661-47900385,TRABD2B
chr1:2276358-2276657,SKI
chr1:41284847-41285149,NA
chr1:205818898-205819191,NA
chr1:16399648-16400072,SPATA21
chr1:24513540-24514477,RCAN3
chr1:2258097-2258423,SKI
chr1:173638662-173639045,ANKRD45
chr1:114696886-114697185,NA
chr1:10386183-10386390,NA
chr1:86046362-86047240,COL24A1
chr1:150241047-150241654,NA
chr1:2999727-2999978,NA
chr1:149398825-149399250,NA
chr1:47799411-47800426,TRABD2B
chr1:146549850-146550075,HYDIN2
chr1:156890243-156890806,NA
chr1:1509482-1510747,NA
chr1:24018355-24018567,NA
chr1:101491317-101491680,NA
chr1:23885682-23886212,CNR2
chr1:148903433-148903658,PDE4DIP
chr1:1859246-1859523,GNB1
chr1:43919083-43919814,ST3GAL3
chr1:200378899-200379365,NA
chr1:95582750-95583572,NA
chr1:1189396-1190245,TTLL10
chr1:54587364-54587578,ACOT11
chr1:16678574-16679192,NA
chr1:154192843-154193852,MIR190B
chr1:12040113-12040793,NA
chr1:23894640-23895064,CNR2
chr1:144593334-144594233,PPIAL4E
chr1:35331703-35332409,ZMYM4
chr1:62901651-62903667,NA
chr1:48449870-48450144,SPATA6
chr1:115631850-115632584,NA
chr1:41267919-41268398,NA
chr1:155145342-155145938,NA
chr1:25593277-25593678,NA
chr1:228003827-228004083,NA
chr1:35325182-35325550,ZMYM4
chr1:76081378-76082365,ST6GALNAC3
chr1:39956424-39958137,MFSD2A
chr1:198125896-198126842,NA
chr1:228657327-228657561,RHOU
chr1:59280240-59280490,NA
chr1:1961407-1961850,CFAP74
chr1:1051178-1052445,AGRN
chr1:38157295-38158586,NA
chr1:91172102-91172771,NA
chr1:6265825-6266778,ACOT7
chr1:160175132-160175702,ATP1A4
chr1:62660555-62660946,DOCK7
chr1:26798366-26799842,PIGV
chr1:169763973-169764347,NA
chr1:156542099-156542502,IQGAP3
chr1:210001129-210001428,SYT14
chr1:232765088-232766479,NA
chr1:19203874-19204234,UBR4
chr1:166944674-166945169,ILDR2
chr1:170630456-170630851,NA
chr1:171750399-171750934,NA
chr1:32757414-32758034,KIAA1522
chr1:27481345-27481742,WASF2
chr1:219786334-219786562,NA
chr1:48462131-48462976,SPATA6
chr1:949329-949851,NOC2L
chr1:206808523-206809187,IL19
chr1:26490522-26491015,NA
chr1:100678766-100679098,NA
chr1:17734435-17734645,NA
chr1:120439013-120439220,NBPF8
chr1:145470241-145470673,NA
chr1:65885856-65886704,PDE4B
chr1:17380456-17380722,PADI6
chr1:3155160-3155361,PRDM16
chr1:208136666-208137183,PLXNA2
chr1:245133028-245134711,NA
chr1:203242519-203242818,NA
chr1:67395683-67396483,IL12RB2
chr1:60280624-60281048,NA
chr1:212731668-212732457,NSL1
chr1:221050448-221050864,NA
chr1:32817198-32817588,YARS
chr1:110626528-110627484,KCNA2
chr1:156338758-156339251,TSACC
chr1:148601668-148601950,NA
chr1:154580380-154580797,NA
chr1:3808490-3809236,NA
chr1:166844996-166845773,POGK
chr1:1161959-1162281,NA
chr1:161953616-161954039,ATF6
chr1:168025508-168025722,DCAF6
chr1:202936045-202936252,NA
chr1:1476093-1476669,ATAD3B
chr1:198128147-198128364,NA
chr1:52834139-52834528,NA
chr1:1886344-1886870,GNB1
chr1:211848641-211849176,NA
chr1:43353947-43354170,MPL
chr1:3511709-3512118,MEGF6
chr1:206858091-206859651,NA
chr1:115397448-115397942,NA
chr1:200880593-200881270,NA
chr1:43770522-43770880,ST3GAL3
chr1:40723796-40724010,NFYC
chr1:19600249-19600942,MINOS1
chr1:202183193-202183526,PTPRVP
chr1:186344124-186344848,TPR
chr1:26560449-26561028,RPS6KA1
chr1:6259178-6259883,GPR153
chr1:45792419-45793301,NA
chr1:120905971-120906396,NA
chr1:48459812-48460061,SPATA6
chr1:166916865-166917215,ILDR2
chr1:9294401-9295118,SPSB1
chr1:18973028-18973304,NA
chr1:151483573-151483902,NA
chr1:200009807-200010036,NA
chr1:181998925-181999341,NA
chr1:23110904-23111567,LUZP1
chr1:158083270-158083540,KIRREL
chr1:1600981-1601231,NA
chr1:1396085-1396338,CCNL2
chr1:28157221-28157788,PTAFR
chr1:22191349-22191592,NA
chr1:32403387-32404382,NA
chr1:1283933-1285345,SCNN1D
chr1:201507779-201509317,NA
chr1:229761128-229762299,NA
chr1:29562745-29565307,NA
chr1:18435566-18435904,NA
chr1:161102107-161102536,PFDN2
chr1:167090575-167091010,GPA33
chr1:243417741-243418775,SDCCAG8
chr1:113615591-113616260,MAGI3
chr1:228404148-228404397,TRIM11
chr1:153700216-153700607,NA
chr1:113044410-113044992,LOC100996251
chr1:101702445-101702745,NA
chr1:1136360-1137156,LINC01342
chr1:16175829-16176117,NA
chr1:839694-840619,LINC01128
chr1:17085411-17086974,PADI2
chr1:242687922-242688682,NA
chr1:201139874-201140504,TMEM9
chr1:177140120-177140323,ASTN1
chr1:145826491-145827224,POLR3C
chr1:7122519-7122727,CAMTA1
chr1:173793288-173794095,NA
chr1:10532177-10532800,PEX14
chr1:100817709-100818899,NA
chr1:1342004-1342952,DVL1
chr1:1259643-1260635,UBE2J2
chr1:215256051-215256636,NA
chr1:109968648-109969570,NA
chr1:149646603-149646851,LINC00869
chr1:33005423-33005739,NA
chr1:161171809-161172256,B4GALT3
chr1:210407401-210407637,HHAT
chr1:25566459-25566711,LDLRAP1
chr1:156105707-156106171,LMNA
chr1:10755226-10755521,CASZ1
chr1:200008392-200009047,NA
chr1:95285602-95286319,NA
chr1:1023143-1023347,AGRN
chr1:153631065-153631369,S100A13
chr1:202162958-202163390,NA
chr1:25869893-25871042,PAQR7
chr1:70385043-70385270,NA
chr1:801975-802338,NA
chr1:3427355-3427683,PRDM16
chr1:153918372-153919334,GATAD2B
chr1:1896414-1896628,NA
chr1:151372014-151372582,SELENBP1
chr1:169074766-169076411,LINC00970
chr1:160771683-160771953,NA
chr1:21022939-21023189,EIF4G3
chr1:8403697-8404102,RERE
chr1:147400354-147401087,LINC00624
chr1:11795975-11796263,MTHFR
chr1:202896204-202896524,KLHL12
chr1:41981788-41982043,HIVEP3
chr1:17197561-17197849,NA
chr1:221068782-221069159,NA
chr1:228112950-228113215,NA
chr1:33168019-33168865,TRIM62
chr1:214781662-214782556,NA
chr1:150185902-150186106,NA
chr1:43250762-43251082,CFAP57
chr1:113050813-113052301,LOC100996251
chr1:110880942-110882800,CD53
chr1:45805564-45805983,MAST2
chr1:149718542-149718918,NA
chr1:16494061-16494505,NA
chr1:233431149-233431540,NA
chr1:149379198-149380059,NA
chr1:164290515-164290767,NA
chr1:38200919-38201200,NA
chr1:228582428-228582894,NA
chr1:16270591-16271582,FBXO42
chr1:31654422-31654833,COL16A1
chr1:223741965-223744525,CAPN2
chr1:24104502-24105263,MYOM3
chr1:156646292-156647260,BCAN
chr1:161719414-161720076,NA
chr1:161359499-161359876,SDHC
chr1:148241109-148241449,LOC101927468
chr1:166808341-166809344,NA
chr1:2064628-2064855,PRKCZ
chr1:149230771-149231197,NA
chr1:119870226-119870535,NA
chr1:17186111-17186523,NA
chr1:36807362-36807584,GRIK3
chr1:204159598-204159833,REN
chr1:33116543-33117363,AZIN2
chr1:1018099-1018390,NA
chr1:201924336-201925053,LMOD1
chr1:1974686-1974942,CFAP74
chr1:112524468-112525385,ST7L
chr1:1897581-1897786,NA
chr1:1563674-1564032,SSU72
chr1:24285785-24286701,NA
chr1:147737015-147737303,NA
chr1:1362954-1363299,MXRA8
chr1:906296-906538,NA
chr1:174128296-174129289,LOC102724601
chr1:36590761-36591121,NA
chr1:114447454-114448024,TRIM33
chr1:246137775-246139559,SMYD3
chr1:149148145-149148374,NA
chr1:167683477-167683917,RCSD1
chr1:161049346-161049737,ARHGAP30
chr1:17949452-17949670,NA
chr1:43613488-43613842,PTPRF
chr1:184723252-184724438,EDEM3
chr1:1267085-1267286,UBE2J2
chr1:234040298-234041457,SLC35F3
chr1:65533592-65533965,LEPR
chr1:1254322-1254548,UBE2J2
chr1:19665010-19665276,NA
chr1:40974056-40974786,NA
chr1:17022986-17023284,SDHB
chr1:143912736-143916156,NA
chr1:213562739-213562958,NA
chr1:214162508-214162737,NA
chr1:110765665-110766012,NA
chr1:46269099-46269820,RAD54L
chr1:146714089-146715278,HYDIN2
chr1:151965657-151966387,NA
chr1:1019818-1020026,NA
chr1:38470617-38471396,NA
chr1:184633223-184633663,NA
chr1:158147433-158147854,NA
chr1:35394747-35396206,ZMYM4
chr1:1420226-1420684,ANKRD65
chr1:17331885-17332093,PADI4
chr1:21985703-21986102,CELA3B
chr1:165321703-165322318,LMX1A
chr1:197880016-197881637,NA
chr1:51796097-51796589,NRD1
chr1:144533703-144534030,NA
chr1:54856401-54856608,DHCR24
chr1:15375063-15375413,FHAD1
chr1:156893519-156894232,PEAR1
chr1:16860873-16862296,NA
chr1:120395809-120396075,NA
chr1:32687521-32688040,SYNC
chr1:36643955-36644327,NA
chr1:21835548-21836344,HSPG2
chr1:192777632-192778198,NA
chr1:179560751-179561596,NPHS2
chr1:91869876-91870390,TGFBR3
chr1:93544558-93545032,FNBP1L
chr1:201123245-201123746,NA
chr1:168194945-168195839,TIPRL
chr1:228246631-228247197,OBSCN
chr1:17240038-17240970,PADI1
chr1:143743395-143744949,NA
chr1:155112976-155113179,NA
chr1:6309163-6310092,ACOT7
chr1:912869-913153,NA
chr1:1262665-1263420,UBE2J2
chr1:211589677-211590293,NA
chr1:247681399-247681951,NA
chr1:9791158-9791486,CLSTN1
chr1:44070892-44071142,NA
chr1:178006830-178007284,LOC730102
chr1:148767243-148767448,NA
chr1:19638207-19639309,MINOS1-NBL1
chr1:21112708-21114121,EIF4G3
chr1:27961559-27961810,XKR8
chr1:121137784-121139057,NA
chr1:150848994-150849265,ARNT
chr1:2345891-2346156,MORN1
chr1:223567681-223567986,CAPN8
chr1:65720047-65720592,NA
chr1:1534331-1536136,ATAD3A
chr1:1623610-1625067,MIB2
chr1:1685373-1685971,SLC35E2B
chr1:22668638-22668862,NA
chr1:1050515-1050830,AGRN
chr1:94313317-94313628,NA
chr1:1496761-1496986,NA
chr1:145713966-145714203,NA
chr1:15541181-15541447,DNAJC16
chr1:119522385-119522638,NA
chr1:153662203-153662439,ILF2
chr1:18967251-18968119,NA
chr1:1027509-1027730,AGRN
chr1:147826167-147826388,NA
chr1:221067447-221068185,NA
chr1:228742996-228743461,RHOU
chr1:242220749-242221000,PLD5
chr1:226249457-226251457,LIN9
chr1:90098230-90099292,NA
chr1:3182821-3183216,PRDM16
chr1:18962842-18963481,NA
chr1:35250418-35250736,NA
chr1:10702136-10702340,CASZ1
chr1:85463884-85464167,DDAH1
chr1:2466934-2467212,NA
chr1:148598409-148599257,NA
chr1:156261199-156261425,SMG5
chr1:149286812-149287773,NA
chr1:119535666-119535987,NA
chr1:2440126-2440478,NA
chr1:112938495-112939113,SLC16A1
chr1:149871079-149871946,NA
chr1:170043610-170043997,KIFAP3
chr1:147834674-147835013,NA
chr1:11322258-11323036,NA
chr1:110230238-110230614,KCNC4
chr1:1271425-1272074,UBE2J2
chr1:16874401-16874813,NA
chr1:40781679-40781956,NA
chr1:109825710-109826207,NA
chr1:214557165-214557442,NA
chr1:22149683-22149897,NA
chr1:1455302-1455892,ATAD3C
chr1:228403232-228403528,TRIM11
chr1:149156106-149156671,NA
chr1:91189139-91189400,NA
chr1:146551476-146551764,HYDIN2
chr1:148176288-148176727,NA
chr1:218520287-218520506,MIR548F3
chr1:11740828-11741717,AGTRAP
chr1:11596382-11596622,NA
chr1:161500428-161500752,NA
chr1:8002408-8002699,NA
chr1:23543377-23544237,NA
chr1:235805318-235805771,LYST
chr1:154530681-154530903,TDRD10
chr1:92011829-92012062,BRDT
chr1:16810605-16810957,NA
chr1:32054341-32054843,KHDRBS1
chr1:120904698-120905076,NA
chr1:21031008-21031369,EIF4G3
chr1:35586331-35586591,TFAP2E
chr1:145382416-145382740,NBPF20
chr1:214776256-214776935,NA
chr1:86621278-86622871,NA
chr1:155292469-155295433,PKLR
chr1:242220284-242220615,PLD5
chr1:36042432-36043444,AGO3
chr1:161110859-161111107,PFDN2
chr1:25663606-25664007,MAN1C1
chr1:18023481-18023792,NA
chr1:111813411-111813853,KCND3
chr1:1093211-1093476,C1orf159
chr1:48058793-48059230,NA
chr1:110008962-110010124,AHCYL1
chr1:60392272-60392583,NA
chr1:2451217-2451551,NA
chr1:214725192-214725528,NA
chr1:17198626-17200049,NA
chr1:149821901-149825191,NA
chr1:153914343-153914578,GATAD2B
chr1:19209626-19209914,UBR4
chr1:156474942-156475320,MEF2D
chr1:1464508-1464806,ATAD3C
chr1:9427507-9427734,LOC100506022
chr1:221064889-221065600,NA
chr1:155164199-155165160,NA
chr1:206785804-206786030,NA
chr1:227746157-227746454,SNAP47
chr1:7843915-7845104,PER3
chr1:155290606-155291001,PKLR
chr1:18971729-18972097,NA
chr1:11561366-11562156,NA
chr1:120925178-120926081,LINC00623
chr1:142890554-142891041,NA
chr1:27191066-27191911,NA
chr1:984206-984429,NA
chr1:2435554-2435828,NA
chr1:228509553-228509763,NA
chr1:153935781-153936276,DENND4B
chr1:162792176-162792574,HSD17B7
chr1:67218079-67218293,IL23R
chr1:108735227-108735513,FNDC7
chr1:54872673-54873000,DHCR24
chr1:143663818-143664138,NA
chr1:156561485-156561880,IQGAP3
chr1:147997265-147997537,PDZK1P1
chr1:2452795-2453007,NA
chr1:175568376-175568808,TNR
chr1:153643318-153643529,CHTOP
chr1:42845978-42846988,ZNF691
chr1:109824313-109824526,NA
chr1:1146708-1146914,NA
chr1:41889270-41889626,HIVEP3
chr1:1960942-1961148,CFAP74
chr1:1976123-1976628,CFAP74
chr1:154744586-154744864,KCNN3
chr1:1163502-1163895,NA
chr1:147532556-147532948,NA
chr1:91182097-91182364,NA
chr1:154971870-154972404,SHC1
chr1:108023232-108023442,NA
chr1:156358050-156358252,NA
chr1:68517254-68517474,DEPDC1-AS1
chr1:1444588-1444849,NA
chr1:149575948-149577505,NA
chr1:1571032-1571470,SSU72
chr1:147623646-147624656,BCL9
chr1:25664286-25665398,MAN1C1
chr1:165323486-165323811,LMX1A
chr1:27901660-27902688,RPA2
chr1:1247918-1248493,NA
chr1:1643593-1643811,CDK11B
chr1:1457954-1459029,ATAD3C
chr1:214161197-214161415,NA
chr1:46705908-46706165,EFCAB14
chr1:156186237-156186647,NA
chr1:1562049-1562398,SSU72
chr1:147999931-148000778,PDZK1P1
chr1:146076519-146077373,NBPF10
chr1:16984777-16985053,NA
chr1:244013802-244014592,LOC339529
chr1:50893468-50893745,FAF1
chr1:27143740-27143953,SLC9A1
chr1:12290955-12291199,VPS13D
chr1:1452701-1453199,ATAD3C
chr1:155830195-155830489,GON4L
chr1:38219702-38220012,NA
chr1:149333785-149334111,NA
chr1:144491618-144492007,NA
chr1:982152-982511,NA
chr1:31381538-31381966,NA
chr1:149399898-149400518,NA
chr1:59281889-59282235,NA
chr1:151966632-151966893,NA
chr1:1957046-1957386,CFAP74
chr1:1024075-1024614,AGRN
chr1:11710459-11710788,DRAXIN
chr1:224805408-224805853,NA
chr1:144481122-144481711,NA
chr1:11779566-11780016,LOC102724659
chr1:147993810-147994130,PDZK1P1
chr1:178455799-178456286,RASAL2
chr1:40562666-40563128,NA
chr1:11822139-11822363,CLCN6
chr1:227747213-227747575,SNAP47
chr1:149261001-149261249,NA
chr1:449273-450544,NA
chr1:16840784-16841028,NA
chr1:50882997-50883426,FAF1
chr1:533219-534114,NA
chr1:544738-546649,NA
chr1:1456829-1457074,ATAD3C
chr1:149510935-149511137,NA
chr1:50882433-50882660,FAF1
chr1:152187450-152187663,NA
chr1:43353241-43353442,MPL
chr1:145611270-145611519,GPR89A
chr1:146081810-146082820,NBPF10
chr1:149615818-149616407,LINC00869
chr1:143687039-143687337,NA
chr1:135124-135563,LOC729737
chr1:147874548-147874846,NA
chr1:147930918-147932478,GPR89B
chr1:143647186-143647525,NA
chr1:17222227-17222466,PADI1
chr1:17075404-17075680,PADI2
chr2:23913308-23913569,ATAD2B
chr2:11483959-11485553,NA
chr2:105459127-105461770,NA
chr2:38977535-38978684,NA
chr2:106014878-106015884,NA
chr2:177029413-177029941,NA
chr2:237071794-237078762,NA
chr2:26726189-26726710,KCNK3
chr2:232645313-232646505,EFHD1
chr2:132152149-132152440,ANKRD30BL
chr2:118572112-118572627,NA
chr2:55276555-55278044,NA
chr2:170681219-170681587,NA
chr2:219738081-219738788,NA
chr2:213402180-213403867,SPAG16
chr2:217559039-217559484,DIRC3
chr2:193058995-193060812,NA
chr2:219081653-219082032,NHEJ1
chr2:71680558-71681276,DYSF
chr2:85581618-85581963,VAMP8
chr2:127413696-127414171,NA
chr2:200715388-200716067,LOC100507140
chr2:177014948-177015214,NA
chr2:66652691-66654218,LOC100507073
chr2:241069198-241069400,SNED1
chr2:119532065-119532315,NA
chr2:162275161-162275596,IFIH1
chr2:110370906-110373301,NA
chr2:208988834-208989269,NA
chr2:68546339-68547111,APLF
chr2:144694666-144695180,TEX41
chr2:219848919-219850541,NA
chr2:128145117-128145897,UGGT1
chr2:44222741-44223732,PPM1B
chr2:9563126-9564282,NA
chr2:145147123-145147476,NA
chr2:239049388-239050089,HDAC4
chr2:10829724-10830241,PDIA6
chr2:45181890-45183111,LINC01121
chr2:207629878-207630160,NA
chr2:3321063-3321293,TSSC1
chr2:220407698-220409048,NA
chr2:45028955-45029318,NA
chr2:131673686-131674150,NA
chr2:28113060-28113764,BRE
chr2:48541252-48542587,STON1
chr2:64067892-64068906,NA
chr2:39893121-39893496,NA
chr2:176992950-176993186,NA
chr2:204192655-204193740,NA
chr2:74691959-74692657,NA
chr2:234385358-234385730,NA
chr2:220434859-220436179,NA
chr2:219723702-219725010,NA
chr2:178977078-178977828,CCDC141
chr2:54950394-54952488,EML6
chr2:1651995-1653401,PXDN
chr2:176957054-176958279,NA
chr2:239140096-239140659,HDAC4
chr2:109402907-109403566,SH3RF3
chr2:172750718-172751020,RAPGEF4
chr2:162016883-162017331,DPP4
chr2:242832999-242833229,NA
chr2:122494108-122494494,NA
chr2:47747991-47749061,NA
chr2:28789559-28789933,PPP1CB
chr2:223288922-223290013,NA
chr2:201675989-201677306,MPP4
chr2:120436530-120437010,NA
chr2:210288413-210288798,NA
chr2:233386614-233389161,DGKD
chr2:238969080-238969919,NA
chr2:190539026-190539533,NA
chr2:85131950-85132234,NA
chr2:204103464-204104172,NA
chr2:3461654-3461863,TRAPPC12
chr2:239039528-239040318,NA
chr2:175199463-175202639,NA
chr2:43398040-43398276,THADA
chr2:134023947-134024467,NA
chr2:62422191-62424458,NA
chr2:131485149-131485460,MZT2A
chr2:219575448-219576080,INHA
chr2:191399089-191399742,MYO1B
chr2:105946164-105946773,NA
chr2:80529677-80530846,CTNNA2
chr2:24163185-24163878,FAM228B
chr2:236443815-236444025,IQCA1
chr2:228736230-228736544,NA
chr2:54013801-54014498,NA
chr2:97173851-97174485,ANKRD36
chr2:64880319-64881868,NA
chr2:37458398-37459199,NA
chr2:149401671-149403498,LYPD6
chr2:231854997-231855957,NA
chr2:46770149-46770370,NA
chr2:91669439-91671565,NA
chr2:98206120-98207224,VWA3B
chr2:10587827-10589155,NOL10
chr2:223176493-223177515,NA
chr2:9983263-9983901,GRHL1
chr2:219523901-219524577,ASIC4
chr2:137181061-137181301,THSD7B
chr2:172972804-172973242,RAPGEF4
chr2:239361710-239361957,HDAC4
chr2:5836068-5837643,NA
chr2:187350497-187351609,CALCRL
chr2:106959115-106959526,NA
chr2:222436034-222438941,SGPP2
chr2:24397645-24398194,NA
chr2:219846291-219847137,NA
chr2:61765406-61766091,NA
chr2:200333687-200334172,SPATS2L
chr2:175204843-175207553,NA
chr2:198380423-198381301,NA
chr2:68882342-68882574,NA
chr2:8723855-8724093,NA
chr2:71221520-71222299,PAIP2B
chr2:48757211-48757785,STON1-GTF2A1L
chr2:130938840-130940428,ARHGEF4
chr2:27346380-27346766,GTF3C2
chr2:96971125-96971556,FAM178B
chr2:115918737-115920765,NA
chr2:98611733-98612944,UNC50
chr2:233470646-233471077,DGKD
chr2:241855374-241855631,PDCD1
chr2:127863642-127865288,AMMECR1L
chr2:80531367-80531719,CTNNA2
chr2:152145869-152146319,STAM2
chr2:176964062-176965509,NA
chr2:239930798-239931057,NA
chr2:26204554-26205649,HADHA
chr2:176977284-176977540,NA
chr2:1052315-1052730,SNTG2
chr2:45169505-45171884,NA
chr2:43451445-43454951,THADA
chr2:97426800-97427208,LOC100506076
chr2:39186777-39187968,CDKL4
chr2:129103077-129104287,NA
chr2:232328445-232330149,DIS3L2
chr2:263400-265238,ACP1
chr2:47917888-47918414,NA
chr2:237119978-237120257,NA
chr2:3833815-3834318,DCDC2C
chr2:220093972-220094697,NA
chr2:3391402-3392500,TRAPPC12
chr2:218898490-218898835,NA
chr2:3698659-3698875,ALLC
chr2:236867652-236867906,NA
chr2:20189588-20190229,NA
chr2:242625961-242626720,NA
chr2:175190866-175192123,NA
chr2:219866131-219868054,NA
chr2:7005163-7006340,RNF144A
chr2:178257227-178257892,OSBPL6
chr2:128421719-128422182,NA
chr2:154334449-154335458,GALNT13
chr2:232394763-232395337,NA
chr2:100937779-100939059,NPAS2
chr2:11101031-11101488,FLJ33534
chr2:1266419-1266661,SNTG2
chr2:238280475-238280769,PER2
chr2:1286393-1286642,SNTG2
chr2:234112923-234113321,NA
chr2:198174658-198175535,NA
chr2:99757355-99758220,AFF3
chr2:219757458-219758001,NA
chr2:75787129-75787420,NA
chr2:24345990-24346793,ITSN2
chr2:237032557-237032856,NA
chr2:63849884-63850164,UGP2
chr2:113239249-113240584,PAX8-AS1
chr2:132057741-132058096,NA
chr2:20101004-20102067,NA
chr2:162094460-162096195,NA
chr2:132558959-132559614,GPR39
chr2:132415393-132415781,NA
chr2:73518364-73520986,ALMS1
chr2:63272127-63272409,WDPCP
chr2:240005782-240006028,NDUFA10
chr2:71558723-71559525,DYSF
chr2:160142607-160143567,ITGB6
chr2:131354988-131355231,NA
chr2:175208415-175209076,NA
chr2:233367780-233368577,DGKD
chr2:84517714-84517951,DNAH6
chr2:187558794-187559012,NA
chr2:197504191-197504558,HSPE1-MOB4
chr2:169312417-169313622,LRP2
chr2:134785625-134785845,NA
chr2:242088415-242090330,LOC728323
chr2:177001221-177001783,NA
chr2:157185557-157186355,NA
chr2:114260095-114261794,NA
chr2:176944087-176948446,NA
chr2:113956343-113957042,ACTR3
chr2:109150330-109151301,SH3RF3
chr2:237476311-237477263,NA
chr2:132767363-132767937,NCKAP5
chr2:11750766-11751072,LPIN1
chr2:1163016-1163820,SNTG2
chr2:198669079-198670154,NA
chr2:48982621-48982958,FSHR
chr2:98962873-98964187,NA
chr2:133173532-133174369,NCKAP5
